"E074","2026-10-02","Transport","Ambulance fuel and transport","3000"
"E075","2026-10-03","Electricity","Monthly electricity bill","2000"
"E076","2026-10-04","Maintenance","Equipment repair","8000"
"E077","2026-10-05","Miscellaneous","Miscellaneous expense","25000"
"E078","2026-10-06","Lab Supplies","Lab reagents and consumables","25000"
"E079","2026-10-07","Equipment","Medical equipment purchase","3000"
"E080","2026-10-08","Salary","Staff salaries","25000"
"E081","2026-10-09","Equipment","Medical equipment purchase","25000"
"E082","2026-10-10","Utilities","Utility bills","3000"
"E083","2026-10-11","Miscellaneous","Miscellaneous expense","12000"
"E084","2026-10-12","Utilities","Utility bills","25000"
"E085","2026-10-13","Utilities","Utility bills","25000"
"E086","2026-10-14","Salary","Staff salaries","2000"
"E087","2026-10-15","Maintenance","Equipment repair","50000"
"E088","2026-10-16","Electricity","Monthly electricity bill","2000"
"E089","2026-10-17","Salary","Staff salaries","3000"
"E090","2026-10-18","Salary","Staff salaries","12000"
"E091","2026-10-19","Maintenance","Equipment repair","5000"
"E092","2026-10-20","Electricity","Monthly electricity bill","15000"
"E093","2026-10-21","Medicine","Medicine purchase","3000"
"E094","2026-10-22","Maintenance","Equipment repair","12000"
"E095","2026-10-23","Medicine","Medicine purchase","50000"
"E096","2026-10-24","Transport","Ambulance fuel and transport","15000"
"E097","2026-09-25","Miscellaneous","Miscellaneous expense","40000"
"E098","2026-09-26","Maintenance","Equipment repair","40000"
"E099","2026-09-27","Utilities","Utility bills","3000"
"E100","2026-09-28","Electricity","Monthly electricity bill","15000"
